ticker,AAPL,ABBV,ABNB,9888.HK,9961.HK,9988.HK,9999.HK,^DJI,^GSPC,^NDX,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^KS11,^HSI
name,Apple Inc.,AbbVie Inc.,Airbnb Inc.,Baidu Inc.,Trip.com Group Limited,Alibaba Group Holding Limited,NetEase Inc.,Dow Jones Industrial Average,S&P 500,NASDAQ-100, Russell 2000 Index,FTSE 100,DAX P,CAC 40,Nikkei 225,KOSPI Composite Index,HANG SENG INDEX
2016/01/04,23.7309,37.7075,,,,,,17148.9395,2012.6600,4497.8599,1108.6200,6093.3999,10283.4404,4522.4502,18450.9805,1918.7600,21327.1191
2016/01/05,23.1363,37.5504,,,,,,17158.6602,2016.7100,4484.1802,1110.4399,6137.2002,10310.0996,4537.6299,18374.0000,1930.5300,21188.7207
2016/01/06,22.6835,37.5570,,,,,,16906.5098,1990.2600,4443.9902,1094.3700,6073.3999,10214.0195,4480.4702,18191.3203,1925.4301,20980.8105
2016/01/07,21.7262,37.4457,,,,,,16514.0996,1943.0900,4305.7202,1064.5699,5954.1001,9979.8496,4403.5801,17767.3398,1904.3300,20333.3398
2016/01/08,21.8410,36.4247,,,,,,16346.4502,1922.0300,4270.7798,1046.2000,5912.3999,9849.3398,4333.7598,17697.9609,1917.6200,20453.7109
2016/01/11,22.1947,35.2661,,,,,,16398.5703,1923.6700,4283.5498,1041.9000,5871.7998,9825.0703,4312.7402,,1894.8400,19888.5000
2016/01/12,22.5168,35.8945,,,,,,16516.2207,1938.6801,4333.7202,1044.7000,5929.2002,9985.4297,4378.7500,17218.9609,1890.8600,19711.7598
2016/01/13,21.9379,33.8507,,,,,,16151.4102,1890.2800,4183.1201,1010.1900,5961.0000,9960.9600,4391.9399,17715.6309,1916.2800,19934.8809
2016/01/14,22.4177,36.0863,,,,,,16379.0498,1921.8400,4272.9702,1025.6700,5918.2002,9794.2002,4312.8901,17240.9492,1900.0100,19817.4102
2016/01/15,21.8793,37.9250,,,,,,15988.0801,1880.3300,4141.0801,1007.7200,5804.1001,9545.2695,4210.1602,17147.1094,1878.8700,19520.7695
2016/01/18,,,,,,,,,,,,5779.8999,9521.8496,4189.5698,16955.5703,1878.4500,19237.4492
2016/01/19,21.7735,36.3707,,,,,,16016.0195,1881.3300,4147.0698,994.8700,5876.7998,9664.2100,4272.2598,17048.3691,1889.6400,19635.8105
2016/01/20,21.8027,37.7993,,,,,,15766.7402,1859.3300,4136.2798,999.3100,5673.6001,9391.6396,4124.9502,16416.1895,1845.4500,18886.3008
2016/01/21,21.6924,38.5996,,,,,,15882.6797,1868.9900,4142.6001,997.3400,5773.7998,9574.1602,4206.3999,16017.2598,1840.5300,18542.1504
2016/01/22,22.8457,38.9105,,,,,,16093.5098,1906.9000,4259.7700,1020.6600,5900.0000,9764.8799,4336.6899,16958.5293,1879.4301,19080.5098
2016/01/25,22.3997,38.7914,,,,,,15885.2197,1877.0800,4196.5298,997.3700,5877.0000,9736.1504,4311.3301,17110.9102,1893.4301,19340.1406
2016/01/26,22.5236,38.5335,,,,,,16167.2305,1903.6300,4233.8501,1017.9700,5911.5000,9822.7500,4356.8101,16708.9004,1871.6899,18860.8008
2016/01/27,21.0436,37.7729,,,,,,15944.4600,1882.9500,4128.8599,1002.7500,5990.3999,9880.8203,4380.3599,17163.9199,1897.8700,19052.4492
2016/01/28,21.1945,36.9395,,,,,,16069.6396,1893.3600,4186.0601,1003.2700,5931.7998,9639.5898,4322.1602,17041.4492,1906.9399,19195.8301
2016/01/29,21.9266,36.3112,,,,,,16466.3008,1940.2400,4279.1699,1035.3800,6083.7998,9798.1104,4417.0200,17518.3008,1912.0601,19683.1094
2016/02/01,21.7216,35.9739,,,,,,16449.1797,1939.3800,4286.5601,1032.3900,6060.1001,9757.8799,4392.3301,17865.2305,1924.8199,19595.5000
2016/02/02,21.2824,35.6828,,,,,,16153.5400,1903.0300,4193.1001,1008.8400,5922.0000,9581.0400,4283.9902,17750.6797,1906.6000,19446.8398
2016/02/03,21.7036,37.5943,,,,,,16336.6602,1912.5300,4171.9702,1010.3000,5837.1001,9434.8203,4226.9600,17191.2500,1890.6700,18991.5898
2016/02/04,21.8780,37.5414,,,,,,16416.5801,1915.4500,4167.7700,1014.7900,5898.7998,9393.3604,4228.5298,17044.9902,1916.2600,19183.0898
2016/02/05,21.2937,35.1339,,,,,,16204.9697,1880.0500,4024.4700,985.6200,5848.1001,9286.2305,4200.6699,16819.5898,1917.7900,19288.1699
2016/02/08,21.5179,34.9817,,,,,,16027.0498,1853.4399,3960.6699,969.3400,5689.3999,8979.3604,4066.3101,17004.3008,,
2016/02/09,21.5134,35.3720,,,,,,16014.3799,1852.2100,3947.8000,963.9000,5632.2002,8879.4004,3997.5400,16085.4404,,
2016/02/10,21.3503,34.8693,,,,,,15914.7402,1851.8600,3966.2800,963.4800,5672.2998,9017.2900,4061.2000,15713.3896,,
2016/02/11,21.2212,34.5121,,,,,,15660.1797,1829.0800,3962.2200,953.7200,5537.0000,8752.8701,3896.7100,,1861.5400,18545.8008
2016/02/12,21.2869,34.7767,,,,,,15973.8398,1864.7800,4019.1899,971.9900,5707.6001,8967.5098,3995.0601,14952.6104,1835.2800,18319.5801
2016/02/15,,,,,,,,,,,,5824.2998,9206.8398,4115.2500,16022.5801,1862.2000,18918.1406
2016/02/16,21.8871,35.3918,,,,,,16196.4102,1895.5800,4104.3301,995.8000,5862.2002,9135.1104,4110.6602,16054.4297,1888.3000,19122.0801
2016/02/17,22.2223,36.3839,,,,,,16453.8301,1926.8199,4199.1001,1011.1300,6030.2998,9377.2100,4233.4702,15836.3604,1883.9399,18924.5703
2016/02/18,21.8010,36.0797,,,,,,16413.4297,1917.8300,4151.4902,1004.7100,5972.0000,9463.6396,4239.7598,16196.7998,1908.8400,19363.0801
2016/02/19,21.7512,35.9077,,,,,,16391.9902,1917.7800,4164.0898,1010.0100,5950.2002,9388.0498,4223.0400,15967.1699,1916.2400,19285.5000
2016/02/22,21.9414,36.5625,,,,,,16620.6602,1945.5000,4231.2700,1021.7400,6037.7002,9573.5898,4298.7002,16111.0498,1916.3600,19464.0898
2016/02/23,21.4454,36.4236,,,,,,16431.7793,1921.2700,4162.5400,1012.1500,5962.2998,9416.7695,4238.4199,16052.0498,1914.2200,19414.7793
2016/02/24,21.7648,36.3046,,,,,,16484.9902,1929.8000,4200.6602,1022.0800,5867.2002,9167.7998,4155.3398,15915.7900,1912.5300,19192.4492
2016/02/25,21.9142,37.1710,,,,,,16697.2891,1951.7000,4241.0601,1031.5800,6012.7998,9331.4805,4248.4502,16140.3398,1918.5699,18888.7500
